Location,Year, Net earnings by place of residence(Thousands of dollars), Personal current transfer receipts(Thousands of dollars),  Income maintenance benefits 1/(Thousands of dollars),  Unemployment insurance compensation(Thousands of dollars),  Retirement and other(Thousands of dollars)," Dividends, interest, and rent 2/(Thousands of dollars)", Population (persons) 3/(Number of persons), Per capita personal income 4/(Dollars), Per capita net earnings 4/(Dollars), Per capita personal current transfer receipts 4/(Dollars),  Per capita income maintenance benefits 4/(Dollars),  Per capita unemployment insurance compensation 4/(Dollars),  Per capita retirement and other 4/(Dollars)," Per capita dividends, interest, and rent 4/(Dollars)", Earnings by place of work(Thousands of dollars),  Wages and salaries(Thousands of dollars),  Supplements to wages and salaries(Thousands of dollars),   Employer contributions for employee pension and insurance funds 5/(Thousands of dollars),   Employer contributions for government social insurance(Thousands of dollars),  Proprietors' income(Thousands of dollars),   Farm proprietors' income(Thousands of dollars),   Nonfarm proprietors' income(Thousands of dollars),Total employment (number of jobs)(Number of jobs), Wage and salary employment(Number of jobs), Proprietors employment(Number of jobs),  Farm proprietors employment 6/(Number of jobs),  Nonfarm proprietors employment(Number of jobs),Average earnings per job (dollars)(Dollars), Average wages and salaries(Dollars), Average nonfarm proprietors' income(Dollars)
"Terrebonne, LA",2017,2567722,1053017,117491,5515,930011,745879,112086,38958,22908,9395,1048,49,8297,6655,3489281,2641289,588926,416548,172378,259066,2735,256331,65955,52788,13167,139,13028,52904,50036,19675
"Wakulla, FL",2001,429602,72455,8084,1196,63175,88886,23779,24851,18066,3047,340,50,2657,3738,234377,154386,40074,30977,9097,39917,1032,38885,6933,4598,2335,128,2207,33806,33577,17619
"Wakulla, FL",2002,422438,84781,8820,1966,73995,85466,24458,24233,17272,3466,361,80,3025,3494,203459,123507,37130,28513,8617,42822,754,42068,7385,4860,2525,121,2404,27550,25413,17499
"Wakulla, FL",2003,442789,94726,9735,2003,82988,92357,25062,25133,17668,3780,388,80,3311,3685,212782,127476,38854,29989,8865,46452,361,46091,7407,4791,2616,121,2495,28727,26607,18473
"Wakulla, FL",2004,464349,100589,12847,992,86750,101767,25832,25809,17976,3894,497,38,3358,3940,229403,142043,43007,32940,10067,44353,359,43994,7674,5035,2639,116,2523,29894,28211,17437
"Wakulla, FL",2005,497032,107875,13465,737,93673,109200,26706,26740,18611,4039,504,28,3508,4089,249700,158636,47817,36678,11139,43247,105,43142,8475,5435,3040,115,2925,29463,29188,14749
"Wakulla, FL",2006,528738,116328,13534,722,102072,123865,27785,27674,19030,4187,487,26,3674,4458,272033,180098,51251,38348,12903,40684,200,40484,9030,5862,3168,111,3057,30125,30723,13243
"Wakulla, FL",2007,557878,129654,14069,980,114605,138176,28588,28883,19514,4535,492,34,4009,4833,288193,196035,55857,42004,13853,36301,-350,36651,9508,6075,3433,130,3303,30311,32269,11096
"Wakulla, FL",2008,574568,154075,14977,2115,136983,145561,29183,29956,19688,5280,513,72,4694,4988,296955,204265,60909,46585,14324,31781,-687,32468,9391,6030,3361,133,3228,31621,33875,10058
"Wakulla, FL",2009,569873,161979,18253,5452,138274,134574,30459,28446,18710,5318,599,179,4540,4418,289199,190413,58229,44677,13552,40557,-655,41212,9019,5744,3275,136,3139,32066,33150,13129
"Wakulla, FL",2010,584886,175051,21019,6813,147219,136598,30825,29085,18974,5679,682,221,4776,4431,301581,188264,60884,47477,13407,52433,-197,52630,8973,5710,3263,139,3124,33610,32971,16847
"Wakulla, FL",2011,586518,188344,22289,5592,160463,145076,30971,29703,18938,6081,720,181,5181,4684,294569,178760,56487,43469,13018,59322,-441,59763,8908,5467,3441,143,3298,33068,32698,18121
"Wakulla, FL",2012,596519,184895,21591,3742,159562,144108,30853,29998,19334,5993,700,121,5172,4671,290512,172176,54349,41610,12739,63987,197,63790,8635,5242,3393,146,3247,33644,32845,19646
"Wakulla, FL",2013,587066,189663,22182,2313,165168,144154,31000,29706,18938,6118,716,75,5328,4650,286362,183372,57542,44080,13462,45448,-186,45634,8711,5371,3340,147,3193,32874,34141,14292
"Wakulla, FL",2014,607944,206558,21932,1201,183425,151872,31408,30768,19356,6577,698,38,5840,4835,292811,189868,57772,43882,13890,45171,-33,45204,8919,5478,3441,146,3295,32830,34660,13719
"Wakulla, FL",2015,636214,219863,21531,681,197651,158649,31518,32195,20186,6976,683,22,6271,5034,304567,200956,59545,45244,14301,44066,363,43703,8936,5647,3289,145,3144,34083,35586,13900
"Wakulla, FL",2016,673497,228837,20799,494,207544,170365,31885,33643,21123,7177,652,15,6509,5343,316652,212201,60509,45523,14986,43942,318,43624,9034,5824,3210,144,3066,35051,36436,14228
"Wakulla, FL",2017,711154,239140,21545,429,217166,178042,32120,35129,22141,7445,671,13,6761,5543,333315,223180,62754,47137,15617,47381,905,46476,9198,5927,3271,144,3127,36238,37655,14863
"Walker, TX",2001,712634,169336,16097,2179,151060,202522,62444,17367,11412,2712,258,35,2419,3243,825232,603171,161455,127417,34038,60606,4701,55905,27865,23133,4732,1060,3672,29615,26074,15225
"Walker, TX",2002,737258,190037,18514,2746,168777,195315,62216,18044,11850,3054,298,44,2713,3139,871005,627096,175692,140668,35024,68217,7931,60286,28043,23273,4770,1010,3760,31060,26945,16034
"Walker, TX",2003,736300,204105,20865,6884,176356,212720,63609,18128,11575,3209,328,108,2773,3344,886576,630206,185170,148004,37166,71200,7793,63407,27972,23070,4902,999,3903,31695,27317,16246
"Walker, TX",2004,726639,216773,22219,4351,190203,197482,64551,17674,11257,3358,344,67,2947,3059,884794,633426,187637,150114,37523,63731,7175,56556,28483,23304,5179,988,4191,31064,27181,13495
"Walker, TX",2005,743090,234245,25842,3300,205103,217972,65676,18200,11314,3567,393,50,3123,3319,916123,663134,192111,153326,38785,60878,5497,55381,28763,23544,5219,1006,4213,31851,28166,13145
"Walker, TX",2006,767026,254689,27015,2990,224684,224561,65591,19001,11694,3883,412,46,3426,3424,957546,700109,198690,158842,39848,58747,6624,52123,29109,23743,5366,999,4367,32895,29487,11936
"Walker, TX",2007,799552,275098,27629,2971,244498,241683,65517,20091,12204,4199,422,45,3732,3689,987474,735586,199988,158095,41893,51900,3134,48766,29792,23874,5918,1081,4837,33146,30811,10082
"Walker, TX",2008,844807,316449,31753,4737,279959,277419,65726,21889,12853,4815,483,72,4259,4221,1035098,771721,206964,163518,43446,56413,154,56259,30590,24174,6416,1143,5273,33838,31924,10669
"Walker, TX",2009,832190,347360,35457,13040,298863,268418,66748,21693,12468,5204,531,195,4477,4021,1091627,806044,222473,177149,45324,63110,-879,63989,31728,24604,7124,1209,5915,34406,32761,10818
"Walker, TX",2010,839591,384715,41238,14428,329049,286999,68241,22147,12303,5638,604,211,4822,4206,1132135,813721,242680,195736,46944,75734,-1979,77713,31776,24449,7327,1283,6044,35629,33282,12858
"Walker, TX",2011,866234,403372,42612,11957,348803,307184,68408,23050,12663,5897,623,175,5099,4490,1142494,828979,236882,188221,48661,76633,-4824,81457,31384,24160,7224,1354,5870,36404,34312,13877
"Walker, TX",2012,904144,394204,41898,10195,342111,331646,68596,23762,13181,5747,611,149,4987,4835,1193662,852706,254317,203871,50446,86639,-2990,89629,31784,24657,7127,1411,5716,37555,34583,15680
"Walker, TX",2013,954449,410111,42151,7835,360125,346923,69426,24652,13748,5907,607,113,5187,4997,1253115,872563,279412,228535,50877,101140,4925,96215,31722,24601,7121,1418,5703,39503,35469,16871
"Walker, TX",2014,1022090,430818,43358,4253,383207,371736,70001,26066,14601,6154,619,61,5474,5310,1320672,924534,296007,241743,54264,100131,45,100086,32418,25085,7333,1402,5931,40739,36856,16875
"Walker, TX",2015,1029225,458723,42833,5528,410362,382993,70718,26456,14554,6487,606,78,5803,5416,1339535,937369,315845,261033,54812,86321,3454,82867,32557,25197,7360,1377,5983,41144,37202,13850
"Walker, TX",2016,1052165,480660,43626,6153,430881,404844,71701,27024,14674,6704,608,86,6009,5646,1398759,997406,329277,272264,57013,72076,-1144,73220,33501,26043,7458,1372,6086,41753,38298,12031
"Walker, TX",2017,1068679,481861,50264,4555,427042,421921,72245,27302,14792,6670,696,63,5911,5840,1424170,1021809,332626,273159,59467,69735,-2333,72068,33480,25912,7568,1363,6205,42538,39434,11615
"Walton, FL",2001,523838,174646,13471,2232,158943,232676,42391,21966,12357,4120,318,53,3749,5489,499085,317821,75221,53387,21834,106043,-186,106229,18106,12927,5179,567,4612,27565,24586,23033
"Walton, FL",2002,583037,191639,15667,3586,172386,248290,43935,23284,13270,4362,357,82,3924,5651,539146,345267,84875,61175,23700,109004,-5717,114721,18973,13503,5470,517,4953,28416,25570,23162
"Walton, FL",2003,677772,207517,17596,3254,186667,277529,45578,25513,14871,4553,386,71,4096,6089,624395,393370,99165,71833,27332,131860,-2558,134418,20684,14689,5995,535,5460,30187,26780,24619
"Walton, FL",2004,851278,239869,20281,2229,217359,338632,47518,30089,17915,5048,427,47,4574,7126,786816,467748,115872,82990,32882,203196,-744,203940,23578,16710,6868,545,6323,33371,27992,32254
"Walton, FL",2005,976937,251601,22808,1470,227323,394828,49392,32867,19779,5094,462,30,4602,7994,959894,595370,139982,98578,41404,224542,-774,225316,27171,19461,7710,561,7149,35328,30593,31517
"Walton, FL",2006,1094964,270448,22619,1392,246437,468574,51145,35859,21409,5288,442,27,4818,9162,1061495,693035,151364,102090,49274,217096,779,216317,29952,21952,8000,567,7433,35440,31570,29102
"Walton, FL",2007,1064544,281499,22673,2292,256534,538048,52355,35987,20333,5377,433,44,4900,10277,998656,712975,159591,109262,50329,126090,162,125928,30791,21964,8827,686,8141,32433,32461,15468
"Walton, FL",2008,1043386,326586,25577,5072,295937,611861,53563,37000,19480,6097,478,95,5525,11423,933333,668049,156984,109521,47463,108300,942,107358,29547,20675,8872,666,8206,31588,32312,13083
"Walton, FL",2009,1032712,354578,30086,13206,311286,596832,54534,36383,18937,6502,552,242,5708,10944,880501,639530,152250,105284,46966,88721,2926,85795,29203,19874,9329,652,8677,30151,32179,9888
"Walton, FL",2010,1124728,409753,34317,13891,361545,651264,55213,39588,20371,7421,622,252,6548,11795,956738,640144,158507,110785,47722,158087,3054,155033,29153,19751,9402,640,8762,32818,32411,17694
"Walton, FL",2011,1217028,424697,36044,9295,379358,697633,55588,42084,21894,7640,648,167,6824,12550,980061,673388,155571,104883,50688,151102,3535,147567,30490,20560,9930,629,9301,32144,32752,15866
"Walton, FL",2012,1403956,409583,36492,6282,366809,802797,57183,45754,24552,7163,638,110,6415,14039,1113539,732398,164963,109655,55308,216178,6325,209853,31848,21620,10228,607,9621,34964,33876,21812
"Walton, FL",2013,1458790,432111,39264,4548,388299,808484,59179,45614,24650,7302,663,77,6561,13662,1229235,794417,181159,122691,58468,253659,4721,248938,33975,23035,10940,610,10330,36181,34487,24099
"Walton, FL",2014,1594042,475879,41856,2174,431849,925980,61203,48950,26045,7775,684,36,7056,15130,1349576,831073,185344,124481,60863,333159,10981,322178,35293,23637,11656,609,11047,38239,35160,29164
"Walton, FL",2015,1767800,501492,40078,1262,460152,1024093,63087,52204,28022,7949,635,20,7294,16233,1461527,904694,198461,134030,64431,358372,16670,341702,37512,24773,12739,602,12137,38962,36519,28154
"Walton, FL",2016,1925758,534797,38911,990,494896,1182267,65440,55667,29428,8172,595,15,7563,18066,1578245,1002114,209717,139569,70148,366414,4922,361492,40027,26363,13664,599,13065,39430,38012,27669
"Walton, FL",2017,2033207,562905,41571,769,520565,1238153,68376,56076,29736,8232,608,11,7613,18108,1671043,1083289,219964,145242,74722,367790,5908,361882,41093,27147,13946,597,13349,40665,39905,27109
"Harrison, MS",2001,3006585,816684,79416,10276,726992,1032395,190922,25433,15748,4278,416,54,3808,5407,3958236,2967524,689254,469408,219846,301458,-1610,303068,124551,108642,15909,413,15496,31780,27315,19558
"Harrison, MS",2002,3087624,863670,86359,15069,762242,1041491,192145,25984,16069,4495,449,78,3967,5420,4132048,3070015,741281,510483,230798,320752,-2092,322844,123976,107826,16150,367,15783,33329,28472,20455
"Harrison, MS",2003,3205520,913580,94776,14351,804453,1042783,191290,26985,16757,4776,495,75,4205,5451,4349499,3212628,823737,576575,247162,313134,-1631,314765,126179,109517,16662,363,16299,34471,29335,19312
"Harrison, MS",2004,3267510,983857,100643,10689,872525,1007047,195971,26833,16673,5020,514,55,4452,5139,4479262,3286688,871218,612122,259096,321356,-1376,322732,125811,109180,16631,342,16289,35603,30103,19813
"Harrison, MS",2005,3262620,1474574,321718,22248,1130608,958846,197784,28799,16496,7455,1627,112,5716,4848,4600431,3414595,896024,632376,263648,289812,-1388,291200,117826,103307,14519,337,14182,39044,33053,20533
"Harrison, MS",2006,3260669,1088878,97435,17817,973626,1082016,174449,31136,18691,6242,559,102,5581,6202,4593931,3398285,871913,606766,265147,323733,-1059,324792,112813,95438,17375,322,17053,40722,35607,19046
"Harrison, MS",2007,3434297,1032650,105053,9217,918380,1778153,179054,34878,19180,5767,587,51,5129,9931,4948763,3743700,939141,651083,288058,265922,-2553,268475,121329,102826,18503,314,18189,40788,36408,14760
"Harrison, MS",2008,3513065,1175943,111117,13244,1051582,1475812,182735,33736,19225,6435,608,72,5755,8076,5067430,3872024,971645,683209,288436,223761,-2472,226233,122012,103607,18405,305,18100,41532,37372,12499
"Harrison, MS",2009,3562224,1248931,139605,33122,1076204,1439486,184930,33800,19263,6754,755,179,5820,7784,5051594,3787539,985749,689728,296021,278306,-1731,280037,119094,100460,18634,298,18336,42417,37702,15273
"Harrison, MS",2010,3753883,1417256,165397,36445,1215414,1365903,187838,34801,19985,7545,881,194,6471,7272,5177508,3743769,985558,690554,295004,448181,-1572,449753,118388,99022,19366,294,19072,43733,37807,23582
"Harrison, MS",2011,3756880,1496403,175117,30672,1290614,1293229,190928,34288,19677,7838,917,161,6760,6773,5202313,3779849,1000928,688625,312303,421536,-261,421797,120611,99128,21483,288,21195,43133,38131,19901
"Harrison, MS",2012,3808081,1496876,186339,25725,1284812,1409443,193447,34709,19685,7738,963,133,6642,7286,5260624,3796323,1020302,702664,317638,443999,-639,444638,120864,98501,22363,280,22083,43525,38541,20135
"Harrison, MS",2013,3779351,1552904,192236,20135,1340533,1403726,196051,34358,19277,7921,981,103,6838,7160,5205159,3816004,1008222,698460,309762,380933,1372,379561,121322,98291,23031,275,22756,42904,38824,16680
"Harrison, MS",2014,3893202,1618812,193152,10103,1415557,1458494,198218,35166,19641,8167,974,51,7141,7358,5306365,3855767,1029370,720161,309209,421228,-814,422042,121003,97728,23275,273,23002,43853,39454,18348
"Harrison, MS",2015,3923760,1712077,194068,8067,1509942,1481063,200521,35492,19568,8538,968,40,7530,7386,5291341,3854249,996526,688380,308146,440566,-512,441078,120405,97200,23205,267,22938,43946,39653,19229
"Harrison, MS",2016,4005185,1779856,188967,8234,1582655,1502485,202639,35963,19765,8783,933,41,7810,7415,5421097,3943920,1021500,711306,310194,455677,-787,456464,121455,98247,23208,263,22945,44635,40143,19894
"Harrison, MS",2017,4082479,1808339,186401,6958,1614980,1562008,205027,36350,19912,8820,909,34,7877,7619,5565284,4048383,1048106,728406,319700,468795,-854,469649,122512,98949,23563,261,23302,45426,40914,20155
"Hildago, TX",2001,5361436,2204361,518347,52416,1633598,1176921,590067,14816,9086,3736,878,89,2768,1995,6010443,3975628,970233,712372,257861,1064582,99825,964757,220968,178490,42478,2015,40463,27201,22274,23843
"Hildago, TX",2002,5774790,2514520,597071,75369,1842080,1164043,610520,15484,9459,4119,978,123,3017,1907,6461605,4252179,1064983,789383,275600,1144443,91621,1052822,230567,184372,46195,2012,44183,28025,23063,23829
"Hildago, TX",2003,6291768,2739371,668746,102939,1967686,1181287,632475,16147,9948,4331,1057,163,3111,1868,7029078,4566170,1202479,890183,312296,1260429,128921,1131508,242793,192453,50340,1889,48451,28951,23726,23354
"Hildago, TX",2004,6945826,2888404,726990,64635,2096779,1252280,653779,16958,10624,4418,1112,99,3207,1915,7732526,4938922,1302232,964452,337780,1491372,110023,1381349,256668,201839,54829,1821,53008,30127,24470,26059
"Hildago, TX",2005,7412416,3278960,830779,47299,2400882,1392021,674982,17902,10982,4858,1231,70,3557,2062,8254647,5349338,1407152,1035784,371368,1498157,121465,1376692,270969,211622,59347,1789,57558,30463,25278,23918
"Hildago, TX",2006,8051204,3534691,870168,42287,2622236,1431058,695352,18720,11579,5083,1251,61,3771,2058,8913745,5839414,1512949,1118877,394072,1561382,73461,1487921,282999,219210,63789,1725,62064,31497,26638,23974
"Hildago, TX",2007,8362313,3960129,922795,43931,2993403,1566529,715264,19418,11691,5537,1290,61,4185,2190,9272517,6328561,1573826,1148969,424857,1370130,48077,1322053,302755,230039,72716,1809,70907,30627,27511,18645
"Hildago, TX",2008,8690168,4499530,1010481,70503,3418546,1888217,736694,20467,11796,6108,1372,96,4640,2563,9607436,6697520,1617408,1175358,442050,1292508,-6381,1298889,308229,235753,72476,1832,70644,31170,28409,18386
"Hildago, TX",2009,9154579,5001537,1175683,210943,3614911,1835711,757468,21112,12086,6603,1552,278,4772,2423,10085128,6795610,1728527,1271709,456818,1560991,-10015,1571006,310579,234074,76505,1839,74666,32472,29032,21040
"Hildago, TX",2010,9822962,5460066,1300778,258320,3900968,1807671,779015,21939,12609,7009,1670,332,5008,2320,10778285,7006626,1867161,1375982,491179,1904498,20243,1884255,316440,236566,79874,1856,78018,34061,29618,24152
"Hildago, TX",2011,10522930,5587358,1349300,215085,4022973,1953354,794639,22732,13242,7031,1698,271,5063,2458,11345473,7289348,1860106,1348866,511240,2196019,-9158,2205177,329907,241736,88171,1872,86299,34390,30154,25553
"Hildago, TX",2012,11074340,5469461,1362552,188799,3918110,2165539,806725,23192,13728,6780,1689,234,4857,2684,11839087,7544508,1960850,1429179,531671,2333729,-994,2334723,335365,246737,88628,1868,86760,35302,30577,26910
"Hildago, TX",2013,11522266,5588787,1370224,150755,4067808,2152836,817526,23564,14094,6836,1676,184,4976,2633,12373576,7796131,2125313,1578474,546839,2452132,30508,2421624,342957,252185,90772,1893,88879,36079,30914,27246
"Hildago, TX",2014,12134102,5833683,1381870,99010,4352803,2235523,829210,24365,14633,7035,1666,119,5249,2696,12990958,8233253,2219254,1644711,574543,2538451,-7203,2545654,353695,258130,95565,1873,93692,36729,31896,27170
"Hildago, TX",2015,12486092,6160082,1363441,124420,4672221,2373524,840113,25020,14862,7332,1623,148,5561,2825,13433730,8575307,2380186,1782572,597614,2478237,-394,2478631,361691,263555,98136,1869,96267,37141,32537,25747
"Hildago, TX",2016,12561866,6493744,1371587,129732,4992425,2486359,850187,25338,14775,7638,1613,153,5872,2924,13636342,8828216,2442268,1826251,616017,2365858,-8853,2374711,368164,267998,100166,1863,98303,37039,32941,24157
"Hildago, TX",2017,12931351,6508951,1389372,105760,5013819,2607145,860661,25617,15025,7563,1614,123,5826,3029,14041738,9156533,2540978,1896020,644958,2344227,-13916,2358143,374436,272569,101867,1852,100015,37501,33593,23578
"Willacy, TX",2001,160379,95108,19893,2339,72876,38011,20016,14663,8013,4752,994,117,3641,1899,128892,78464,19629,14820,4809,30799,9893,20906,5214,3708,1506,325,1181,24720,21161,17702
"Willacy, TX",2002,165328,105457,21201,3337,80919,35490,20198,15164,8185,5221,1050,165,4006,1757,127802,76877,19985,15187,4798,30940,9073,21867,5152,3532,1620,324,1296,24806,21766,16873
"Willacy, TX",2003,219793,113354,22784,3670,86900,39005,20418,18227,10765,5552,1116,180,4256,1910,179929,81404,22302,16962,5340,76223,54935,21288,5216,3637,1579,297,1282,34496,22382,16605
"Willacy, TX",2004,227065,118636,23301,2366,92969,35614,20767,18362,10934,5713,1122,114,4477,1715,185727,85511,23414,17742,5672,76802,56011,20791,5285,3640,1645,288,1357,35142,23492,15321
"Willacy, TX",2005,204649,129714,26174,1661,101879,37963,21229,17539,9640,6110,1233,78,4799,1788,167824,93682,25146,18665,6481,48996,24918,24078,5596,3821,1775,281,1494,29990,24518,16116
"Willacy, TX",2006,195879,137898,26414,1517,109967,36148,21463,17235,9126,6425,1231,71,5124,1684,159401,101465,26896,19892,7004,31040,4937,26103,5677,3888,1789,273,1516,28078,26097,17218
"Willacy, TX",2007,216575,155520,27308,1526,126686,40587,21576,19127,10038,7208,1266,71,5872,1881,197437,122771,29672,21272,8400,44994,19241,25753,6079,4230,1849,287,1562,32479,29024,16487
"Willacy, TX",2008,208149,168198,29333,2396,136469,45306,21763,19375,9564,7729,1348,110,6271,2082,210220,148084,32676,22891,9785,29460,7607,21853,6546,4655,1891,289,1602,32114,31812,13641
"Willacy, TX",2009,195085,184970,33454,6783,144733,42110,21862,19310,8923,8461,1530,310,6620,1926,198456,143545,34727,24888,9839,20184,-4291,24475,6774,4772,2002,285,1717,29297,30081,14255
"Willacy, TX",2010,265527,202710,36513,8342,157855,40824,22225,22905,11947,9121,1643,375,7103,1837,271931,155146,39216,28119,11097,77569,50087,27482,6889,4785,2104,284,1820,39473,32423,15100
"Willacy, TX",2011,284658,205381,36077,7657,161647,44352,22166,24109,12842,9266,1628,345,7293,2001,281927,162921,37064,25401,11663,81942,50702,31240,6555,4448,2107,283,1824,43009,36628,17127
"Willacy, TX",2012,229260,201429,35768,6792,158869,44867,22198,21423,10328,9074,1611,306,7157,2021,209163,137910,35018,25177,9841,36235,4576,31659,6484,4328,2156,279,1877,32258,31865,16867
"Willacy, TX",2013,241953,207280,36429,5506,165345,46332,22027,22498,10984,9410,1654,250,7506,2103,225127,138801,37112,27351,9761,49214,17196,32018,6491,4324,2167,287,1880,34683,32100,17031
"Willacy, TX",2014,305533,211725,35461,3113,173151,47561,21943,25740,13924,9649,1616,142,7891,2167,285645,147576,39673,29088,10585,98396,64410,33986,6697,4440,2257,283,1974,42653,33238,17217
"Willacy, TX",2015,295913,223589,34718,4228,184643,50796,21882,26062,13523,10218,1587,193,8438,2321,270395,136485,39437,29884,9553,94473,62331,32142,6297,4118,2179,290,1889,42940,33144,17015
"Willacy, TX",2016,298898,235059,34585,4010,196464,52383,21760,26946,13736,10802,1589,184,9029,2407,261555,127888,37385,28513,8872,96282,65310,30972,6001,3949,2052,290,1762,43585,32385,17578
"Willacy, TX",2017,359604,234315,34526,2939,196850,54619,21584,30047,16661,10856,1600,136,9120,2531,326159,130511,39035,29485,9550,156613,127085,29528,5970,3896,2074,287,1787,54633,33499,16524
"Starr, TX",2001,386549,221677,62075,6005,153597,67324,54294,12442,7120,4083,1143,111,2829,1240,396700,204579,61986,49856,12130,130135,11614,118521,17137,11439,5698,877,4821,23149,17884,24584
"Starr, TX",2002,416850,245971,64162,9293,172516,70883,55412,13241,7523,4439,1158,168,3113,1279,425933,220899,69769,56531,13238,135265,10211,125054,18062,12104,5958,863,5095,23582,18250,24544
"Starr, TX",2003,457402,278232,71390,13525,193317,74118,56704,14280,8066,4907,1259,239,3409,1307,463459,242142,79463,64314,15149,141854,12940,128914,18631,12559,6072,855,5217,24876,19280,24710
"Starr, TX",2004,478658,290367,75452,8560,206355,68629,57857,14478,8273,5019,1304,148,3567,1186,482028,256727,85916,69799,16117,139385,9164,130221,19352,13056,6296,861,5435,24908,19664,23960
"Starr, TX",2005,504725,328800,86843,6279,235678,71572,58284,15529,8660,5641,1490,108,4044,1228,499581,278743,91632,73504,18128,129206,7031,122175,19901,13366,6535,884,5651,25103,20855,21620
"Starr, TX",2006,557762,357393,90789,5335,261269,73025,59050,16735,9446,6052,1537,90,4425,1237,540902,306416,100635,80784,19851,133851,6065,127786,20609,13969,6640,887,5753,26246,21935,22212
"Starr, TX",2007,575285,402094,92615,5539,303940,81186,59529,17782,9664,6755,1556,93,5106,1364,530543,320144,101811,80927,20884,108588,170,108418,20924,14093,6831,967,5864,25356,22717,18489
"Starr, TX",2008,628293,441416,97336,8770,335310,102418,59763,19613,10513,7386,1629,147,5611,1714,558642,351270,107946,85317,22629,99426,-200,99626,21272,14627,6645,987,5658,26262,24015,17608
"Starr, TX",2009,625697,490598,113716,27011,349871,102406,60384,20183,10362,8125,1883,447,5794,1696,609607,373705,118187,93404,24783,117715,-70,117785,21698,14988,6710,1000,5710,28095,24934,20628
"Starr, TX",2010,695800,530885,126127,31380,373378,101668,61145,21725,11380,8682,2063,513,6106,1663,671344,394180,131915,104752,27163,145249,-854,146103,21989,15281,6708,1019,5689,30531,25795,25682
"Starr, TX",2011,748925,529456,128166,24152,377138,111378,61582,22568,12161,8598,2081,392,6124,1809,684081,410819,130746,102538,28208,142516,-640,143156,22455,15385,7070,1036,6034,30465,26703,23725
"Starr, TX",2012,795865,509245,125147,20587,363511,119334,61823,23041,12873,8237,2024,333,5880,1930,700688,423164,140061,110545,29516,137463,1266,136197,22702,15910,6792,1040,5752,30865,26597,23678
"Starr, TX",2013,814345,527774,125600,17349,384825,123113,62290,23523,13073,8473,2016,279,6178,1976,729525,440745,155486,124918,30568,133294,13621,119673,22901,16236,6665,1051,5614,31856,27146,21317
"Starr, TX",2014,853734,550054,124955,11994,413105,130748,62914,24391,13570,8743,1986,191,6566,2078,756380,461317,162335,130139,32196,132728,9646,123082,23442,16368,7074,1039,6035,32266,28184,20395
"Starr, TX",2015,858555,582716,123558,16473,442685,137435,63512,24857,13518,9175,1945,259,6970,2164,787592,478097,174349,141475,32874,135146,20961,114185,23533,16489,7044,1034,6010,33468,28995,18999
"Starr, TX",2016,829847,614330,124750,17573,472007,144771,63931,24854,12980,9609,1951,275,7383,2264,775898,489895,178564,145054,33510,107439,3724,103715,24005,16792,7213,1030,6183,32322,29174,16774
"Starr, TX",2017,845783,612795,126373,12690,473732,151546,64454,24981,13122,9507,1961,197,7350,2351,781369,499477,183478,148705,34773,98414,-1047,99461,24213,16896,7317,1024,6293,32271,29562,15805
"Austin, TX",2001,457786,97560,5809,942,90809,148669,24341,28923,18807,4008,239,39,3731,6108,411125,288979,62186,42648,19538,59960,-4347,64307,14468,9100,5368,2185,3183,28416,31756,20203
"Austin, TX",2002,473467,104754,6975,2164,95615,142065,24818,29023,19078,4221,281,87,3853,5724,421660,288301,65190,45582,19608,68169,-281,68450,14543,9211,5332,2062,3270,28994,31300,20933
"Austin, TX",2003,495232,111917,8121,3131,100665,147519,25388,29725,19507,4408,320,123,3965,5811,440107,299077,70314,48791,21523,70716,2562,68154,14672,9248,5424,1960,3464,29996,32340,19675
"Austin, TX",2004,513392,118253,8826,1860,107567,165354,25976,30682,19764,4552,340,72,4141,6366,457259,316353,73897,50819,23078,67009,2349,64660,14956,9477,5479,1888,3591,30574,33381,18006
"Austin, TX",2005,572535,128646,10413,1320,116913,183011,26331,33580,21744,4886,395,50,4440,6950,510268,334356,77814,54672,23142,98098,691,97407,15576,9938,5638,1866,3772,32760,33644,25824
"Austin, TX",2006,656505,138308,11044,1182,126082,209954,26828,37452,24471,5155,412,44,4700,7826,608640,399076,90641,63526,27115,118923,1240,117683,16786,11008,5778,1805,3973,36259,36253,29621
"Austin, TX",2007,696134,150705,10937,1176,138592,237107,27454,39482,25356,5489,398,43,5048,8637,697930,484114,106694,74642,32052,107122,-9676,116798,18243,12276,5967,1903,4064,38257,39436,28740
"Austin, TX",2008,715017,169930,12330,1891,155709,305824,27935,42626,25596,6083,441,68,5574,10948,735109,526602,115278,79943,35335,93229,-10489,103718,19051,12970,6081,1901,4180,38586,40602,24813
"Austin, TX",2009,697792,187894,14817,6558,166519,216344,28254,39004,24697,6650,524,232,5894,7657,746835,536667,122239,84810,37429,87929,-10242,98171,19250,12865,6385,1900,4485,38797,41715,21889
"Austin, TX",2010,713377,204076,16944,7641,179491,197882,28357,39332,25157,7197,598,269,6330,6978,755689,528407,121036,83575,37461,106246,-4468,110714,19084,12505,6579,1910,4669,39598,42256,23713
"Austin, TX",2011,737052,214105,17526,6457,190122,227293,28570,41248,25798,7494,613,226,6655,7956,687952,483324,104292,69587,34705,100336,-12101,112437,17831,11255,6576,1916,4660,38582,42943,24128
