"CAINC5N Personal Income by Major Component and Earnings by NAICS Industry 1/"
"(Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2012","2013","2014","2015","2016","2017"
"12005","Bay, FL","704","        Building material and garden equipment and supplies dealers",26324,28254,31888,38608,42611,38734
"12005","Bay, FL","705","        Food and beverage stores",50305,50487,49679,55578,54865,57346
"12005","Bay, FL","706","        Health and personal care stores",22745,22918,22683,25487,29011,29360
"12005","Bay, FL","707","        Gasoline stations",17908,14507,14176,16130,16805,17462
"12005","Bay, FL","708","        Clothing and clothing accessories stores",26209,27962,27440,28343,27633,28723
"12005","Bay, FL","709","        Sporting goods, hobby, musical instrument, and book stores",8434,9396,10874,11918,11281,10032
"12005","Bay, FL","711","        General merchandise stores",74907,85055,87364,88133,86253,88391
"12005","Bay, FL","712","        Miscellaneous store retailers",12538,17936,22638,21370,15166,15977
"12005","Bay, FL","713","        Nonstore retailers",7392,6437,5996,7087,8606,9770
"12005","Bay, FL","800","      Transportation and warehousing",134672,135234,137033,136210,118991,120398
"12005","Bay, FL","801","        Air transportation",6908,"(D)","(D)","(D)","(D)","(D)"
"12005","Bay, FL","802","        Rail transportation",2580,2530,2925,3382,3670,3755
"12005","Bay, FL","803","        Water transportation",10385,11199,11369,13110,5985,7820
"12005","Bay, FL","804","        Truck transportation",15773,17531,19915,20529,20535,20349
"12005","Bay, FL","805","        Transit and ground passenger transportation",3723,4450,3748,2613,1720,1025
"12005","Bay, FL","806","        Pipeline transportation","(D)",64,"(D)","(D)","(D)","(D)"
"12005","Bay, FL","807","        Scenic and sightseeing transportation",2936,3031,2868,3469,3443,3655
"12005","Bay, FL","808","        Support activities for transportation",80428,77828,75444,70806,60584,60012
"12005","Bay, FL","809","        Couriers and messengers","(D)","(D)","(D)","(D)","(D)","(D)"
"12005","Bay, FL","811","        Warehousing and storage","(D)","(D)",4523,5176,5701,5841
"12005","Bay, FL","900","      Information",85195,94257,83958,76396,61800,40414
"12005","Bay, FL","901","        Publishing industries (except Internet)",12106,"(D)","(D)",8915,"(D)",7257
"12005","Bay, FL","902","        Motion picture and sound recording industries",3400,3545,3783,3879,3407,3293
"12005","Bay, FL","903","        Broadcasting (except Internet)",32328,43084,35400,27542,14704,7931
"12005","Bay, FL","904","        Internet publishing and broadcasting 8/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"12005","Bay, FL","905","        Telecommunications",35250,33759,32706,34791,34716,20732
"12005","Bay, FL","906","        Data processing, hosting, and related services","(D)","(D)","(D)","(D)",795,"(D)"
"12005","Bay, FL","907","        Other information services 8/","(D)","(D)","(D)","(D)","(D)","(D)"
"12005","Bay, FL","1000","      Finance and insurance",132410,143605,145226,146469,148247,160713
"12005","Bay, FL","1001","        Monetary Authorities-central bank",0,0,0,0,0,0
"12005","Bay, FL","1002","        Credit intermediation and related activities",79945,83304,82933,78999,75931,86865
"12005","Bay, FL","1003","        Securities, commodity contracts, and other financial investments and related activities","(D)","(D)","(D)","(D)","(D)","(D)"
"12005","Bay, FL","1004","        Insurance carriers and related activities",31838,32239,32894,34639,33737,33414
"12005","Bay, FL","1005","        Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)","(D)","(D)"
"12005","Bay, FL","1100","      Real estate and rental and leasing",59265,78336,104969,138218,139415,141361
"12005","Bay, FL","1101","        Real estate",45075,64568,89855,111959,115489,118831
"12005","Bay, FL","1102","        Rental and leasing services","(D)","(D)","(D)","(D)","(D)","(D)"
"12005","Bay, FL","1103","        Lessors of nonfinancial intangible assets (except copyrighted works)","(D)","(D)","(D)","(D)","(D)","(D)"
"12005","Bay, FL","1200","      Professional, scientific, and technical services",320245,300516,312997,328366,374302,380092
"12005","Bay, FL","1300","      Management of companies and enterprises",18857,17134,17181,19403,20233,20880
"12005","Bay, FL","1400","      Administrative and support and waste management and remediation services",202749,229743,266943,255464,244224,247664
"12005","Bay, FL","1401","        Administrative and support services",185716,213691,246702,233788,222335,224167
"12005","Bay, FL","1402","        Waste management and remediation services",17033,16052,20241,21676,21889,23497
"12005","Bay, FL","1500","      Educational services",15029,14135,15978,17201,18348,19942
"12005","Bay, FL","1600","      Health care and social assistance",554562,602615,615965,640862,662437,689026
"12005","Bay, FL","1601","        Ambulatory health care services",297237,310363,334135,348389,357432,364354
"12005","Bay, FL","1602","        Hospitals",147827,181356,175048,184130,192634,211660
"12005","Bay, FL","1603","        Nursing and residential care facilities",59602,59065,58866,60877,63025,64386
"12005","Bay, FL","1604","        Social assistance",49896,51831,47916,47466,49346,48626
"12005","Bay, FL","1700","      Arts, entertainment, and recreation",31350,31570,37989,46996,52544,52824
"12005","Bay, FL","1701","        Performing arts, spectator sports, and related industries",2189,2758,2435,5207,4398,4584
